source,relationship,target
area,located-at,country
area,located-at,region
attack-pattern,targets,individual
attack-pattern,targets,organization
attack-pattern,targets,sector
autonomous-system,related-to,attack-pattern
autonomous-system,related-to,campaign
autonomous-system,related-to,infrastructure
autonomous-system,related-to,intrusion-set
autonomous-system,related-to,malware
autonomous-system,related-to,organization
autonomous-system,related-to,threat-actor-group
autonomous-system,related-to,tool
bank-account,related-to,attack-pattern
bank-account,related-to,campaign
bank-account,related-to,individual
bank-account,related-to,infrastructure
bank-account,related-to,intrusion-set
bank-account,related-to,malware
bank-account,related-to,threat-actor-group
bank-account,related-to,tool
campaign,attributed-to,threat-actor-group
campaign,originates-from,country
campaign,targets,area
campaign,targets,city
campaign,targets,country
campaign,targets,organization
campaign,targets,position
campaign,targets,region
campaign,targets,sector
campaign,targets,vulnerability
campaign,uses,attack-pattern
campaign,uses,channel
campaign,uses,infrastructure
campaign,uses,malware
campaign,uses,tool
channel,related-to,attack-pattern
channel,related-to,channel
city,located-at,country
country,located-at,region
domain-name,related-to,attack-pattern
domain-name,related-to,campaign
domain-name,related-to,infrastructure
domain-name,related-to,intrusion-set
domain-name,related-to,malware
domain-name,related-to,threat-actor-group
domain-name,related-to,tool
domain-name,resolves-to,ipv4-addr
email-addr,related-to,attack-pattern
email-addr,related-to,campaign
email-addr,related-to,infrastructure
email-addr,related-to,intrusion-set
email-addr,related-to,malware
email-addr,related-to,threat-actor-group
email-addr,related-to,tool
file,related-to,attack-pattern
file,related-to,campaign
file,related-to,infrastructure
file,related-to,intrusion-set
file,related-to,malware
file,related-to,threat-actor-group
file,related-to,tool
incident,originates-from,country
incident,related-to,campaign
incident,uses,attack-pattern
incident,uses,channel
indicator,based-on,autonomous-system
indicator,based-on,bank-account
indicator,based-on,domain-name
indicator,based-on,email-addr
indicator,based-on,file
indicator,based-on,ipv4-addr
indicator,based-on,ipv6-addr
indicator,based-on,mac-addr
indicator,based-on,mutex
indicator,based-on,persona
indicator,based-on,process
indicator,based-on,software
indicator,based-on,text
indicator,based-on,url
indicator,based-on,user-account
indicator,based-on,windows-registry-key
indicator,based-on,x509-certificate
indicator,indicates,attack-pattern
indicator,related-to,attack-pattern
indicator,related-to,autonomous-system
indicator,related-to,bank-account
indicator,related-to,domain-name
indicator,related-to,email-addr
indicator,related-to,file
indicator,related-to,intrusion-set
indicator,related-to,ipv4-addr
indicator,related-to,ipv6-addr
indicator,related-to,mac-addr
indicator,related-to,mutex
indicator,related-to,persona
indicator,related-to,process
indicator,related-to,software
indicator,related-to,text
indicator,related-to,url
indicator,related-to,user-account
indicator,related-to,windows-registry-key
indicator,related-to,x509-certificate
indicator,sighted-at-on,organization
individual,located-at,area
individual,located-at,city
individual,located-at,country
individual,located-at,position
individual,located-at,region
individual,part-of,organization
individual,related-to,threat-actor-group
infrastructure,delivers,malware
infrastructure,located-at,city
infrastructure,located-at,country
infrastructure,located-at,region
intrusion-set,attributed-to,threat-actor-group
intrusion-set,compromises,infrastructure
intrusion-set,hosts,infrastructure
intrusion-set,originates-from,country
intrusion-set,owns,infrastructure
intrusion-set,targets,area
intrusion-set,targets,city
intrusion-set,targets,country
intrusion-set,targets,organization
intrusion-set,targets,position
intrusion-set,targets,region
intrusion-set,targets,sector
intrusion-set,targets,vulnerability
intrusion-set,uses,attack-pattern
intrusion-set,uses,channel
intrusion-set,uses,infrastructure
intrusion-set,uses,malware
intrusion-set,uses,tool
ipv4-addr,belongs-to,autonomous-system
ipv4-addr,located-at,country
ipv4-addr,related-to,attack-pattern
ipv4-addr,related-to,campaign
ipv4-addr,related-to,infrastructure
ipv4-addr,related-to,intrusion-set
ipv4-addr,related-to,malware
ipv4-addr,related-to,threat-actor-group
ipv4-addr,related-to,tool
ipv6-addr,related-to,attack-pattern
ipv6-addr,related-to,campaign
ipv6-addr,related-to,infrastructure
ipv6-addr,related-to,intrusion-set
ipv6-addr,related-to,malware
ipv6-addr,related-to,threat-actor-group
ipv6-addr,related-to,tool
mac-addr,related-to,attack-pattern
mac-addr,related-to,campaign
mac-addr,related-to,infrastructure
mac-addr,related-to,intrusion-set
mac-addr,related-to,malware
mac-addr,related-to,threat-actor-group
mac-addr,related-to,tool
malware,communicates-with,url
malware,exploits,vulnerability
malware,related-to,channel
malware,related-to,ipv4-addr
malware,related-to,tool
malware,targets,individual
malware,targets,organization
malware,targets,sector
malware,targets,system
malware,targets,event
malware,targets,infrastructure
malware,targets,vulnerability
malware,uses,attack-pattern
malware,uses,infrastructure
malware,beacons-to,infrastructure
malware,exfiltrates-to,infrastructure
mutex,related-to,attack-pattern
mutex,related-to,campaign
mutex,related-to,infrastructure
mutex,related-to,intrusion-set
mutex,related-to,malware
mutex,related-to,threat-actor-group
mutex,related-to,tool
narrative,related-to,channel
narrative,related-to,organization
narrative,related-to,persona
organization,located-at,area
organization,located-at,city
organization,located-at,country
organization,located-at,position
organization,located-at,region
organization,part-of,organization
organization,part-of,sector
persona,related-to,attack-pattern
persona,related-to,campaign
persona,related-to,channel
persona,related-to,individual
persona,related-to,intrusion-set
persona,related-to,organization
persona,related-to,threat-actor-group
position,located-at,area
position,located-at,city
position,located-at,country
position,located-at,region
process,related-to,attack-pattern
process,related-to,campaign
process,related-to,infrastructure
process,related-to,intrusion-set
process,related-to,malware
process,related-to,threat-actor-group
process,related-to,tool
software,has,vulnerability
software,related-to,attack-pattern
software,related-to,campaign
software,related-to,incident
software,related-to,infrastructure
software,related-to,intrusion-set
software,related-to,malware
software,related-to,organization
software,related-to,threat-actor-group
software,related-to,tool
text,related-to,attack-pattern
text,related-to,campaign
text,related-to,file
text,related-to,infrastructure
text,related-to,intrusion-set
text,related-to,malware
text,related-to,threat-actor-group
text,related-to,tool
threat-actor-group,compromises,infrastructure
threat-actor-group,hosts,infrastructure
threat-actor-group,impersonates,individual
threat-actor-group,located-at,area
threat-actor-group,located-at,city
threat-actor-group,located-at,country
threat-actor-group,located-at,position
threat-actor-group,located-at,region
threat-actor-group,owns,infrastructure
threat-actor-group,targets,area
threat-actor-group,targets,city
threat-actor-group,targets,country
threat-actor-group,targets,organization
threat-actor-group,targets,position
threat-actor-group,targets,region
threat-actor-group,targets,sector
threat-actor-group,targets,vulnerability
threat-actor-group,uses,channel
threat-actor-group,uses,infrastructure
threat-actor-group,uses,malware
threat-actor-group,uses,tool
tool,related-to,attack-pattern
url,related-to,attack-pattern
url,related-to,campaign
url,related-to,domain-name
url,related-to,infrastructure
url,related-to,intrusion-set
url,related-to,ipv4-addr
url,related-to,malware
url,related-to,threat-actor-group
url,related-to,tool
user-account,related-to,attack-pattern
user-account,related-to,campaign
user-account,related-to,channel
user-account,related-to,infrastructure
user-account,related-to,intrusion-set
user-account,related-to,malware
user-account,related-to,threat-actor-group
user-account,related-to,tool
vulnerability,related-to,attack-pattern
windows-registry-key,related-to,attack-pattern
windows-registry-key,related-to,campaign
windows-registry-key,related-to,infrastructure
windows-registry-key,related-to,intrusion-set
windows-registry-key,related-to,malware
windows-registry-key,related-to,threat-actor-group
windows-registry-key,related-to,tool
x509-certificate,related-to,attack-pattern
x509-certificate,related-to,campaign
x509-certificate,related-to,infrastructure
x509-certificate,related-to,intrusion-set
x509-certificate,related-to,malware
x509-certificate,related-to,threat-actor-group
x509-certificate,related-to,tool
intrusion-set,originates-from,area
intrusion-set,originates-from,city
intrusion-set,originates-from,position
intrusion-set,originates-from,region
campaign,originates-from,area
campaign,originates-from,city
campaign,originates-from,position
campaign,originates-from,region
incident,originates-from,area
incident,originates-from,city
incident,originates-from,position
incident,originates-from,region
city,located-at,area
infrastructure,related-to,organization
campaign,attributed-to,threat-actor-individual
intrusion-set,attributed-to,threat-actor-individual
malware,authored-by,threat-actor-individual
threat-actor-individual,part-of,threat-actor-group
threat-actor-individual,employed-by,threat-actor-group
threat-actor-individual,employed-by,organization
threat-actor-individual,reports-to,threat-actor-group
threat-actor-individual,cooperates-with,threat-actor-individual
threat-actor-individual,cooperates-with,threat-actor-group
threat-actor-individual,participates-in,campaign
threat-actor-individual,known-as,persona
threat-actor-individual,uses,malware
threat-actor-individual,uses,tool
threat-actor-individual,uses,attack-pattern
threat-actor-individual,uses,channel
threat-actor-individual,uses,narrative
threat-actor-individual,uses,infrastructure
threat-actor-individual,compromises,infrastructure
threat-actor-individual,hosts,infrastructure
threat-actor-individual,owns,infrastructure
threat-actor-individual,targets,individual
threat-actor-individual,targets,organization
threat-actor-individual,targets,sector
threat-actor-individual,targets,vulnerability
threat-actor-individual,targets,country
threat-actor-individual,targets,region
threat-actor-individual,targets,city
threat-actor-individual,targets,area
threat-actor-individual,targets,position
threat-actor-individual,impersonates,individual
threat-actor-individual,impersonates,organization
threat-actor-individual,located-at,country
threat-actor-individual,located-at,region
threat-actor-individual,located-at,city
threat-actor-individual,located-at,area
threat-actor-individual,located-at,position
threat-actor-individual,resides-in,country
threat-actor-individual,citizen-of,country
threat-actor-individual,national-of,country
threat-actor-individual,related-to,individual
malware,related-to,persona
tool,related-to,persona
infrastructure,related-to,persona
individual,related-to,individual
malware,controls,malware
malware,downloads,malware
malware,drops,malware
malware,variant-of,malware
campaign,uses,narrative
incident,uses,narrative
intrusion-set,uses,narrative
narrative,derived-from,narrative
narrative,subnarrative-of,narrative
threat-actor-group,uses,narrative
url,uses,narrative
domain-name,uses,narrative
file,uses,narrative
channel,uses,narrative
channel,uses,tool
incident,uses,tool
indicator,indicates,tool
infrastructure,hosts,tool
malware,downloads,tool
malware,drops,tool
malware,uses,tool
organization,uses,tool
tool,delivers,malware
tool,derived-from,tool
tool,drops,malware
tool,has,vulnerability
tool,uses,attack-pattern
tool,uses,infrastructure
course-of-action,mitigates,attack-pattern
course-of-action,investigates,indicator
course-of-action,mitigates,indicator
course-of-action,mitigates,malware
course-of-action,remediates,malware
course-of-action,mitigates,tool
course-of-action,mitigates,vulnerability
course-of-action,remediates,vulnerability
incident,targets,event
intrusion-set,targets,event
event,located-at,region
